simulation,trial,n,T_mse,S_mse,X_mse
simD,2,100000,0.0047750387133324275,0.0001275499218871208,0.0008678145176348242
simD,2,300000,0.0039622628104084515,0.00013072964624342832,0.0008230188854617457
simD,3,5000,0.024117236281397933,0.0001348462707256364,0.005111772715790934
simD,3,10000,0.014427829704847588,0.00014891405019979624,0.0030998244371691665
simD,3,20000,0.009571714815990597,0.00011889565024044152,0.0011939615737259564
simD,3,100000,0.004605610958480169,0.00010512889213944122,0.0008195884851649254
simD,3,300000,0.003859666776044713,0.00013758417345907848,0.0008121248192354844
simD,4,5000,0.007841575793830793,7.399479382671986e-05,0.0013104818485748303
simD,4,10000,0.008706971897180022,8.73603420908824e-05,0.0012210101257026178
simD,4,20000,0.00703974638047313,8.049160760419451e-05,0.0010267304921315525
simD,4,100000,0.004324329735576573,9.709159518198025e-05,0.0008346472676113187
simD,4,300000,0.0038536695372148847,0.00013409244388353552,0.0008127635733609895
simD,5,5000,0.010812677648690544,9.879848702951947e-05,0.003076075808143791
simD,5,10000,0.008129796218676114,0.0001140043904337397,0.0022628285174898883
simD,5,20000,0.008367929485228175,0.00011431584928913407,0.0019307925499097139
simD,5,100000,0.0050800821405960735,0.00012528397580081058,0.0010248432217008362
simD,5,300000,0.003680859531911348,0.00012143735544476146,0.000816166046916346
simD,6,5000,0.01623399667653316,0.00013289826394021132,0.0016864847753918564
simD,6,10000,0.012794056268787747,0.00010480498758667677,0.0011949297894602788
simD,6,20000,0.006977885544548261,8.516708504444392e-05,0.0009942564388741245
simD,6,100000,0.0041761991775865585,0.0001017168887140519,0.0008576957165827915
simD,6,300000,0.003738099327661647,0.00012095987435433978,0.0008121064265410794
simD,7,5000,0.012682887222875257,9.370499726402647e-05,0.0030606197094463737
simD,7,10000,0.009004269919090679,5.3352481281134365e-05,0.0011856741208679637
simD,7,20000,0.007796420424799123,9.973114831119389e-05,0.0012589195685375706
simD,7,100000,0.004906249401981938,0.00010995357010551722,0.0009600650276164553
simD,7,300000,0.00396694501704063,0.0001235878220441913,0.0008044097415212514
simD,8,5000,0.013943431217164364,0.00012980395438912112,0.002290342474013105
simD,8,10000,0.009107990354612185,0.00010501586337111384,0.0012151593050184822
simD,8,20000,0.009003221811008606,8.77805623615866e-05,0.001143346847083171
simD,8,100000,0.004980400829086126,0.00011609088911438838,0.0009099003830290737
simD,8,300000,0.003940785276556745,0.0001305003000941617,0.0008581711701109889
simD,9,5000,0.010994454500704905,9.56423839154493e-05,0.0011910425730561685
simD,9,10000,0.006675794095261011,8.571231408493857e-05,0.0011127498772019089
simD,9,20000,0.005242844602018987,0.00010249626973203101,0.0010356042320904559
simD,9,100000,0.004522815216156787,0.00011368382198241883,0.0009074117600089701
simD,9,300000,0.003859400728181528,0.00011566220307135519,0.0008958000742176933
simE,0,5000,0.060930869528754684,0.06057086126073913,0.03194501646799314
simE,0,10000,0.02219748085711859,0.021079364547155168,0.012448406986399223
simE,0,20000,0.02037102593016329,0.021361170873180735,0.00574341086837594
simE,0,100000,0.009939590110072533,0.00843891838685748,0.0052331455766242065
simE,0,300000,0.004592361112293547,0.004617009119105322,0.0014501155665018132
simE,1,5000,0.03574478501636452,0.052582098240249696,0.02114055966469564
simE,1,10000,0.02479104329925628,0.024344836014013604,0.014118302568821265
simE,1,20000,0.015819351952472003,0.01587085712649799,0.008086858930493476
simE,1,100000,0.0067096087201565765,0.0063987940391492994,0.0019767665862893222
simE,1,300000,0.004352502375555724,0.004195544468428651,0.0010851963595091706
simE,2,5000,0.04319728444742241,0.041016303306142955,0.02216581455531594
simE,2,10000,0.03757080603560015,0.032580776087154886,0.02278928556145521
simE,2,20000,0.015937853354774847,0.014993910576722967,0.0065796957493481105
simE,2,100000,0.009490086187600643,0.00761594579415415,0.004833164612084508
simE,2,300000,0.0043867411778708894,0.0042901218114425035,0.000981670196726579
simE,3,5000,0.0544795365193637,0.054205080526323425,0.030782287982609496
simE,3,10000,0.027861087787360076,0.0275016316220249,0.014409216643221255
simE,3,20000,0.019472414174804158,0.0169886461720294,0.008296215963848056
simE,3,100000,0.005357265660583715,0.005471533696998831,0.0014372287869916474
simE,3,300000,0.004257701133621422,0.0043084366525994,0.0009996744300570409
simE,4,5000,0.036343088118589405,0.03139280431519227,0.02064986638843226
simE,4,10000,0.02118930685493273,0.01935815064865595,0.008458971037300062
simE,4,20000,0.015639449959345523,0.01593149164604976,0.007346655614543035
simE,4,100000,0.008149410547720283,0.00792961633393302,0.003763135674181263
simE,4,300000,0.004286450651504565,0.004171187521990452,0.0009687329676012756
simE,5,5000,0.039634144666389724,0.028915891232164235,0.032148086806023726
simE,5,10000,0.020105728703176836,0.018233651530405275,0.010957930410235423
simE,5,20000,0.013894963553778769,0.014703059037851608,0.005269515797486089
simE,5,100000,0.006480259758259345,0.006618603475850449,0.0018951353868716832
simE,5,300000,0.004189746711160892,0.004288017720391445,0.0009760820525523034
simE,6,5000,0.043540463521110885,0.04422164140607797,0.03005527338550654
simE,6,10000,0.026591413981148716,0.029154680267503376,0.01660104623122217
simE,6,20000,0.013154178820787735,0.013372820430279703,0.005347937354889169
simE,6,100000,0.0050564096339621445,0.005147111400896536,0.0016314620247788992
simE,6,300000,0.0040299106933189555,0.004113107353880626,0.0011241721732618813
simE,7,5000,0.04202783968068801,0.03369220367764125,0.021853888990770624
simE,7,10000,0.021184416069020395,0.019651785669443197,0.010165965419425504
simE,7,20000,0.014952984493516107,0.013461686267683029,0.0058474700896265185
simE,7,100000,0.00645310685971827,0.006325417380230298,0.0023715600713727354
simE,7,300000,0.004670777431250705,0.004556345471997971,0.0012703752022298882
simE,8,5000,0.05202068988360024,0.046977532846836555,0.02507069948385315
simE,8,10000,0.029479052158263616,0.028511060989494658,0.013261678949798645
simE,8,20000,0.014625155078860303,0.013668231594025722,0.003926764150661579
simE,8,100000,0.006394935299368465,0.006863403118149141,0.0015365842950286722
simE,8,300000,0.004197016206118201,0.0043612300390922926,0.0009518439622784861
simE,9,5000,0.054863143131809324,0.04816572940950791,0.03634086982768289
simE,9,10000,0.02085112700855234,0.01934657009105346,0.011061028467884027
simE,9,20000,0.010003515545645783,0.009496270799047624,0.004917800017581851
simE,9,100000,0.005097558126531443,0.005175255200810233,0.0014078512373592608
simE,9,300000,0.004126155185064621,0.00411701806015919,0.000996019423655571
simF,0,5000,1.7231795119224713,1.6877637335822075,1.7043813167300277
simF,0,10000,1.6140687100729536,1.6184188498045426,1.6138486375191317
simF,0,20000,1.6091565012493239,1.6147318456518447,1.610800007926928
simF,0,100000,1.5800620657001174,1.598262795168901,1.5917271333990008
simF,0,300000,1.5978959223158422,1.601583829803152,1.5953071266425185
simF,1,5000,1.7717704791267863,1.7928615058605075,1.7682616928052626
simF,1,10000,1.7467372122432812,1.7112612281603719,1.7189393314364962
simF,1,20000,1.6793793578711946,1.6871018782532266,1.6456908161623895
simF,1,100000,1.6044391924497492,1.6054910784621836,1.5840950947486134
simF,1,300000,1.6097874401986156,1.612590914112125,1.6001357772552243
simF,2,5000,1.5083365201640642,1.5005499279616497,1.5660519301424645
simF,2,10000,1.5704200239855992,1.5870439140503676,1.5760129052600502
simF,2,20000,1.6050600641399828,1.6125815996911201,1.6040836744757747
simF,2,100000,1.6055106601368134,1.6062875990103787,1.595660662731382
simF,2,300000,1.5929909176068324,1.5930260177960718,1.5907229938854228
simF,3,5000,1.7011766063954008,1.7327554488888417,1.6943283353957368
simF,3,10000,1.6306527422228525,1.6266549542104154,1.6026625983945662
simF,3,20000,1.6473944622797407,1.61767009189217,1.6006050371283222
simF,3,100000,1.5879017954801529,1.5849668462104345,1.5918792851756254
simF,3,300000,1.609919684754938,1.6066152314506257,1.6017828070808007
simF,4,5000,1.6516447251200763,1.6501203302822727,1.6153790385489148
simF,4,10000,1.6144859196794272,1.595647616671783,1.5913566704965327
simF,4,20000,1.631304759377746,1.6542854756370964,1.6021894787253619
simF,4,100000,1.5996371500332984,1.5976699467308328,1.5935555193828201
simF,4,300000,1.6009575820217647,1.5960108353111973,1.5935015378251307
simF,5,5000,1.7459851794428525,1.689836831691719,1.7285889065820206
simF,5,10000,1.6812338613828846,1.6893957111912652,1.6717316643286129
simF,5,20000,1.658816749626977,1.6336061320479511,1.650743828939242
simF,5,100000,1.5661926083415272,1.5656585594455923,1.5744637738239093
simF,5,300000,1.587504309134527,1.5901424746801969,1.5842896481489501
simF,6,5000,1.7100700100925923,1.741763953138054,1.641965315301293
simF,6,10000,1.6896802548483392,1.6805325029675044,1.6270415080385465
simF,6,20000,1.6291953139335529,1.6327033298962985,1.5970219442185218
simF,6,100000,1.5912295703870334,1.5895178130863516,1.5841047842533866
simF,6,300000,1.5867155097876142,1.5888754854609448,1.5822259893774369
simF,7,5000,1.6796343426750862,1.6819392858393123,1.699360716175108
simF,7,10000,1.62258939233315,1.6322696837281399,1.5996101992107075
simF,7,20000,1.6238421893334103,1.6246214409496418,1.599001280232217
simF,7,100000,1.6177534310578814,1.6275935469490685,1.6109715470746773
simF,7,300000,1.605831501640504,1.6006884683838891,1.5933532917529907
simF,8,5000,1.6492991177465557,1.6507294046221435,1.6147593209442148
simF,8,10000,1.6375648037277115,1.6343352744572501,1.614944389371608
simF,8,20000,1.5914988710782352,1.5900642681698354,1.5810441652793634
simF,8,100000,1.605193172865278,1.604052588920303,1.5990627746650594
simF,8,300000,1.6051117452514827,1.613926022432979,1.6018459332800794
simF,9,5000,1.627488285342324,1.608045979550377,1.6105168105442766
simF,9,10000,1.5985154404660242,1.5916300186357302,1.5813880439296155
simF,9,20000,1.574487115692263,1.5787398860533848,1.579533891353962
simF,9,100000,1.5684686610350798,1.5695193507792344,1.5747489149629506
simF,9,300000,1.5652577702013506,1.5730927173029852,1.5693452326439596
