simulation,trial,n,T_mse,S_mse,X_mse
simB,9,5000,2971.788570424767,2247.3398948739414,2091.9152922639773
simB,9,10000,3157.6947381806,2336.2832841829454,2114.052671430249
simB,9,20000,3375.705370192098,2239.1746538184443,2070.4625423247244
simB,9,100000,3777.102193010921,2483.1586198204,2044.268891671681
simB,9,300000,3792.6909412830846,2764.2094371415455,2035.0712850383263
simC,0,5000,0.02504758338299613,0.02134195975453666,0.026602329532956128
simC,0,10000,0.02520151072145276,0.029151575123585776,0.02343177781816752
simC,0,20000,0.016622126824678313,0.014962070715325515,0.013433610996369095
simC,0,100000,0.0065181272937870766,0.006625610181450562,0.004903479199550886
simC,0,300000,0.004666166183908276,0.005006869825395663,0.002765907123877985
simC,1,5000,0.032940652976159134,0.04011956160425283,0.034756453935981486
simC,1,10000,0.01555448133102489,0.015645865287002424,0.013559904119594983
simC,1,20000,0.01778374164533546,0.019635120944944174,0.015568988364098136
simC,1,100000,0.006180521030042062,0.005978521914036076,0.004406588401940026
simC,1,300000,0.0044093775754949285,0.00427634506539212,0.002238924946357789
simC,2,5000,0.042363851256006155,0.03589374180883053,0.04333882038746904
simC,2,10000,0.029892823911806622,0.024001156836521455,0.03014827513118923
simC,2,20000,0.023207779288664684,0.022574701748538074,0.022625759095859413
simC,2,100000,0.006168244943726701,0.006082733681246903,0.004466740183278415
simC,2,300000,0.004684842419935806,0.004793534731872954,0.0027019721260614555
simC,3,5000,0.02548730130369405,0.0208832596057653,0.028479981576663323
simC,3,10000,0.02329209402432031,0.02417656415526391,0.020780619229014276
simC,3,20000,0.015690384990557655,0.016145041390831644,0.012694782548839226
simC,3,100000,0.005989953796475032,0.005888039725026396,0.004512596722258743
simC,3,300000,0.004800581855839444,0.0048215446989729425,0.003001653464198767
simC,4,5000,0.01658112131064086,0.02099496591171314,0.014993422537300185
simC,4,10000,0.01303183789245561,0.016877265369485018,0.010377682357717764
simC,4,20000,0.010265079892419086,0.01162701095561183,0.008353419030140195
simC,4,100000,0.005335254334025369,0.005493230712414209,0.0037319297422305103
simC,4,300000,0.0042704071436965646,0.00433549645991173,0.002219265754971243
simC,5,5000,0.022274751475185484,0.02233653389161257,0.025197070910859917
simC,5,10000,0.015074334558568356,0.014804748646032153,0.015827975637584188
simC,5,20000,0.01099239239252081,0.011393073151214062,0.010141595441521815
simC,5,100000,0.006179746162167948,0.0063679944538154315,0.004700548092566756
simC,5,300000,0.0056307833409329315,0.005413527267722968,0.003810644730930631
simC,6,5000,0.0374781509840245,0.03800835219080063,0.047221608598914507
simC,6,10000,0.023202757146115423,0.02613296884960442,0.028120540712849664
simC,6,20000,0.026233989668670687,0.02378516939711221,0.0216190806857284
simC,6,100000,0.007986989032322362,0.007579793987133229,0.00633147071586637
simC,6,300000,0.005454660579921681,0.005522715070168509,0.003225087437684567
simC,7,5000,0.03962321361699534,0.03217104454266565,0.04540009685060489
simC,7,10000,0.025725331949391285,0.02154215139072197,0.028642672462497652
simC,7,20000,0.015477118294971927,0.016940745813320467,0.013171131197821479
simC,7,100000,0.006748432613704393,0.0074952527074218156,0.005395232822617121
simC,7,300000,0.00473586519180169,0.0048000189771400205,0.0028010916991251596
simC,8,5000,0.04372231448251514,0.042762303943690405,0.0559978308579382
simC,8,10000,0.031487920534862934,0.028709322813466193,0.03095690178335245
simC,8,20000,0.022013631710295235,0.02114693172424252,0.017425973073338128
simC,8,100000,0.006863102216002329,0.006173694793346804,0.005199410802249824
simC,8,300000,0.0050057334360917955,0.0049586520702111754,0.0029292497492697397
simC,9,5000,0.02607387033415901,0.030333386755118957,0.023953846049104555
simC,9,10000,0.016742280649119715,0.014649192791861085,0.012448172128705937
simC,9,20000,0.018485628692566498,0.01807975248241692,0.013671498066178947
simC,9,100000,0.0061171620069083565,0.006136926672925096,0.004126154030559421
simC,9,300000,0.004869191397236229,0.004795871613300436,0.002705523182596551
simD,0,5000,0.027894588678608074,0.00010017924218793578,0.0054320140326467
simD,0,10000,0.010103023880610271,9.329886309049258e-05,0.001486762968673947
simD,0,20000,0.008930131210401288,0.00010458498799035216,0.0012678946761424245
simD,0,100000,0.0048228141977893595,0.00012693203761425127,0.0009409826612213819
simD,0,300000,0.003930598458977882,0.0001258811058328168,0.0008633307295309031
simD,1,5000,0.01927107845152117,9.18141062190386e-05,0.006238508871772504
simD,1,10000,0.013490942913159472,0.0001086606929066593,0.004446213768457084
simD,1,20000,0.007869744471889565,9.971152099987826e-05,0.0018025613218449015
simD,1,100000,0.005457510568469875,0.00013469131127255335,0.0009394133153103619
simD,1,300000,0.0041126616904560345,0.00013323201634714993,0.0009002652670486938
simD,2,5000,0.024341200779551188,7.657955530551773e-05,0.0022839209229300285
simD,2,10000,0.018172575057414084,0.00014990743447032955,0.0025219613609261137
simD,2,20000,0.008461767868595597,0.0001031471366372376,0.0012096322785772973
simD,2,100000,0.004775038713332426,0.00012754992188712067,0.0009331438663405092
simD,2,300000,0.003962262810408452,0.00013072964624342832,0.0008689662197893435
simD,3,5000,0.024117236281397926,0.00013484627072563661,0.00433020645097557
simD,3,10000,0.014427829704847584,0.00014891405019979627,0.0023692249967820034
simD,3,20000,0.009571714815990593,0.00011889565024044132,0.001094475036611955
simD,3,100000,0.004605610958480168,0.00010512889213944117,0.0008571902165699725
simD,3,300000,0.003859666776044714,0.0001375841734590787,0.0008444799377468253
simD,4,5000,0.00784157579383079,7.399479382671992e-05,0.0011745234205196835
simD,4,10000,0.008706971897180022,8.736034209088244e-05,0.0011622492564172546
simD,4,20000,0.00703974638047313,8.04916076041944e-05,0.0010253454823477962
simD,4,100000,0.004324329735576573,9.709159518198042e-05,0.0008651186743426984
simD,4,300000,0.003853669537214883,0.0001340924438835355,0.000850979214885726
simD,5,5000,0.010812677648690549,9.879848702951947e-05,0.0031727898549832882
simD,5,10000,0.008129796218676112,0.00011400439043373968,0.0023292404613889993
simD,5,20000,0.008367929485228177,0.00011431584928913383,0.0019947412614277583
simD,5,100000,0.005080082140596072,0.00012528397580081053,0.001036096125845165
simD,5,300000,0.0036808595319113503,0.00012143735544476148,0.0008524675577210526
simD,6,5000,0.016233996676533156,0.00013289826394021135,0.0014645750876188296
simD,6,10000,0.012794056268787756,0.00010480498758667686,0.0011844837000635794
simD,6,20000,0.006977885544548257,8.516708504444392e-05,0.0010406733039212285
simD,6,100000,0.004176199177586558,0.00010171688871405191,0.0008904619525450852
simD,6,300000,0.0037380993276616464,0.00012095987435433971,0.0008494813757339345
simD,7,5000,0.012682887222875257,9.370499726402651e-05,0.0032426309530981046
simD,7,10000,0.009004269919090676,5.33524812811344e-05,0.001213790413211847
simD,7,20000,0.007796420424799123,9.973114831119385e-05,0.001266475320271663
simD,7,100000,0.004906249401981939,0.00010995357010551718,0.000977183186229607
simD,7,300000,0.00396694501704063,0.00012358782204419124,0.0008407522327427729
simD,8,5000,0.013943431217164369,0.00012980395438912107,0.0022259612515314305
simD,8,10000,0.009107990354612185,0.00010501586337111382,0.001191780555942078
simD,8,20000,0.009003221811008608,8.778056236158668e-05,0.0011860299682396724
