simulation,trial,n,T_mse,S_mse,X_mse
simC,8,100000,0.599647861162488,1.15924788400693,0.34759859001829563
simC,8,300000,0.5347019780833291,1.0665755693507968,0.28414353607776865
simC,9,5000,0.7924268914553863,1.1555412370865672,0.6049327600960713
simC,9,10000,0.7307786622833838,1.1298929445173587,0.5014950679053769
simC,9,20000,0.6741021439837349,1.0837963519911953,0.4290646061523255
simC,9,100000,0.5872627841705371,1.0087170590341596,0.3251772483986513
simC,9,300000,0.5251116478664344,0.9446764539530427,0.27457571885654963
simD,0,5000,0.2859852579896451,0.015072515842054948,0.03327592448084228
simD,0,10000,0.24835217824969913,0.008988123599572304,0.028388226563940588
simD,0,20000,0.24124755150281457,0.01054599146657412,0.029306718492190048
simD,0,100000,0.1325729821771318,0.011618281021499702,0.023133019834613994
simD,0,300000,0.1046857747145123,0.012658510760427875,0.018973784454272842
simD,1,5000,0.34223405748902014,0.014424533645898161,0.03042698815967036
simD,1,10000,0.2646537666073391,0.011421393596582372,0.029142385439814553
simD,1,20000,0.24371519152345103,0.01294502280720736,0.024755092619857314
simD,1,100000,0.14860264211001495,0.011549649912946033,0.02198165919419659
simD,1,300000,0.10682811244549328,0.012974033334666703,0.018420965519715938
simD,2,5000,0.26043708623227046,0.01052015099589102,0.02459209115491046
simD,2,10000,0.2382284349171788,0.011099880408136949,0.022561119996833925
simD,2,20000,0.2386725651824496,0.010055240500375609,0.01869551721800359
simD,2,100000,0.14985911914908362,0.010116696438583093,0.01725041717351901
simD,2,300000,0.10819246235293252,0.012930869403894048,0.01671965417716766
simD,3,5000,0.2867569089420193,0.01159112261171025,0.03218832946433379
simD,3,10000,0.2384557070951907,0.009100905992984994,0.03188347990949549
simD,3,20000,0.2495681142646185,0.01293455057607544,0.028633930444599172
simD,3,100000,0.14243833329471248,0.010850607534632697,0.02054892489502968
simD,3,300000,0.10966277184881718,0.012593872900766967,0.017918506278931913
simD,4,5000,0.2800518739550053,0.008253430257960702,0.01921059660522081
simD,4,10000,0.2718438293072432,0.008740129394553348,0.025452037184548887
simD,4,20000,0.2356883659219463,0.01058230366245004,0.025931253056586084
simD,4,100000,0.13934089540861455,0.012575942988693314,0.023241497704466218
simD,4,300000,0.11438329922371099,0.011847657605292205,0.01895373301973783
simD,5,5000,0.328410061550051,0.011567450209510985,0.020196890030961694
simD,5,10000,0.27954777596972047,0.01130737810099756,0.024864361759004597
simD,5,20000,0.23029386366608365,0.011493880929922578,0.024564735978902293
simD,5,100000,0.11952911185250809,0.013189576501815391,0.024533323952968714
simD,5,300000,0.11215803626665602,0.01372771313361863,0.018894121558827217
simD,6,5000,0.2962947561440767,0.007564928326276554,0.017640073154261422
simD,6,10000,0.27546033301850975,0.012542094990781252,0.022722016211475658
simD,6,20000,0.26660759142090695,0.009963715609515327,0.01867199048339295
simD,6,100000,0.1529187813064184,0.011540622001953346,0.020639874779172646
simD,6,300000,0.10946495419953847,0.013035493088395592,0.018782496344359457
simD,7,5000,0.2794295534385668,0.012770260738515655,0.02247807981278736
simD,7,10000,0.24944306610742725,0.009918131245224544,0.02422576383140535
simD,7,20000,0.2319812666227588,0.00940862175541575,0.02448037392856676
simD,7,100000,0.15025797959476755,0.012284889208886415,0.02097445229566674
simD,7,300000,0.1105734301078795,0.013666337262248649,0.01906888595416142
simD,8,5000,0.25547006453330723,0.010074326976253866,0.029356330071032
simD,8,10000,0.2417026332561621,0.013564946834070018,0.02374854834126352
simD,8,20000,0.23563045862682758,0.013896283400387902,0.02300710350868066
simD,8,100000,0.14941801890173734,0.011916444416133218,0.020411256008503072
simD,8,300000,0.10592280318156823,0.014374854975024566,0.01941357216847533
simD,9,5000,0.2496300155403967,0.006665486353309706,0.023373593406519434
simD,9,10000,0.24376948491095077,0.0070749199081457485,0.022089019345843425
simD,9,20000,0.22529880457515944,0.010285116873881884,0.020453996159606466
simD,9,100000,0.1287130823091709,0.011192567026907938,0.02149738419794595
simD,9,300000,0.10242666381421477,0.012925470812002147,0.0200929880368861
simE,0,5000,6.0100150490322255,41.22989275588224,3.473580986853588
simE,0,10000,5.395068928812223,36.8079563596568,3.1546326076996127
simE,0,20000,4.087189164805159,33.30037444931166,2.5675851757587185
simE,0,100000,0.3861761010547389,24.97301953867512,1.7887452074328045
simE,0,300000,0.07212227595482429,19.009776077350327,1.5248462919133783
simE,1,5000,6.091828525667867,41.694923794151464,3.4826168007598985
simE,1,10000,5.419114429767862,38.7889495178826,3.0598448112267267
simE,1,20000,4.054282521085357,33.23584424486351,2.382776192279631
simE,1,100000,0.3701871086958194,25.30008327772024,1.7471355917264018
simE,1,300000,0.07239024684890277,18.672538833465236,1.3244963889939891
simE,2,5000,6.016772262272369,41.37865023347226,3.336571063420097
simE,2,10000,5.397229627598212,36.69131306086943,3.0617684754654024
simE,2,20000,4.060172635973285,33.01333240359023,2.574427118919264
simE,2,100000,0.34749064745303737,24.25437099343934,1.7269539638321363
simE,2,300000,0.09071521369235717,20.10075894911028,1.368480622869981
simE,3,5000,6.020922051341393,42.449370404557094,3.4976800149652063
simE,3,10000,5.381859289725161,37.740294645975155,2.9789516488248964
simE,3,20000,4.1285425761370185,33.661956518355886,2.3596006569565886
simE,3,100000,0.3469429396421202,25.709335160781848,1.7097490012182164
simE,3,300000,0.07072875860551649,19.663766353235214,1.359580626084544
simE,4,5000,5.9665024549391195,41.47763834383113,3.362014918259294
simE,4,10000,5.380427327637755,37.33369160453997,3.000228750223935
simE,4,20000,3.997686694194023,34.03859124856275,2.624782295336021
simE,4,100000,0.398043786425487,24.669247774547106,1.693277590796575
simE,4,300000,0.07470878879146502,19.859446452836163,1.4293982700186176
simE,5,5000,6.022674531030817,40.7497975228976,3.605857181836593
simE,5,10000,5.417609663182832,36.45728495981744,3.3041593053738323
simE,5,20000,4.124949792851082,33.91402489954636,2.8514744162869894
simE,5,100000,0.3468195735446575,25.489201706831587,1.9196801541348034
simE,5,300000,0.07615399348375035,18.52599881928981,1.4219077756223653
simE,6,5000,6.032411812268717,41.23083869443687,3.471717848129716
simE,6,10000,5.376564691628957,37.063408746792824,3.04986585557524
simE,6,20000,4.135319598561093,33.46086829617076,2.4991885696221487
simE,6,100000,0.3567237888426375,24.681837008798706,1.9444542975270922
simE,6,300000,0.07695650221140592,19.549409370153974,1.3016204354314223
simE,7,5000,5.9642307377476165,41.5031782151841,3.506720548884993
